timestamp,training_end,threshold_selected_pre_event,predicted_probability,predicted_class,actual_future_6h_rain,actual_target,predicted_amount_mm
2021-11-19 18:00:00,2021-10-31 23:00:00,0.95,0.001904416247,0,2.6,0,4.146697521
2021-11-19 19:00:00,2021-10-31 23:00:00,0.95,0.03330466896,0,2.5,0,4.279746056
2021-11-19 20:00:00,2021-10-31 23:00:00,0.95,0.05683828145,0,2.9,0,3.306683779
2021-11-19 21:00:00,2021-10-31 23:00:00,0.95,0.3333241642,0,2.6,0,5.933090687
2021-11-19 22:00:00,2021-10-31 23:00:00,0.95,0.08204391599,0,2.3,0,4.131351471
2021-11-19 23:00:00,2021-10-31 23:00:00,0.95,0.004575640429,0,2.4,0,2.838212729
2021-11-20 00:00:00,2021-10-31 23:00:00,0.95,0.002227150602,0,4.3,0,2.211888552
2021-11-20 01:00:00,2021-10-31 23:00:00,0.95,0.002936244244,0,4,0,3.286783457
2021-11-20 02:00:00,2021-10-31 23:00:00,0.95,0.002127721207,0,3.7,0,4.207470417
2021-11-20 03:00:00,2021-10-31 23:00:00,0.95,0.01385544986,0,3.3,0,4.423330784
2021-11-20 04:00:00,2021-10-31 23:00:00,0.95,0.00378098106,0,3.4,0,1.954427242
2021-11-20 05:00:00,2021-10-31 23:00:00,0.95,0.01541754324,0,3.1,0,2.99364543
2021-11-20 06:00:00,2021-10-31 23:00:00,0.95,0.01583704911,0,1.2,0,5.923741341
2021-11-20 07:00:00,2021-10-31 23:00:00,0.95,0.01106723212,0,1.2,0,3.924056768
2021-11-20 08:00:00,2021-10-31 23:00:00,0.95,0.001016739872,0,0.9,0,4.349881649
2021-11-20 09:00:00,2021-10-31 23:00:00,0.95,9.717747889e-05,0,0.8,0,2.440107822
2021-11-20 10:00:00,2021-10-31 23:00:00,0.95,0.0004213175562,0,0.6,0,1.968012214
2021-11-20 11:00:00,2021-10-31 23:00:00,0.95,0.0002099673584,0,0.5,0,1.572861671
2021-11-20 12:00:00,2021-10-31 23:00:00,0.95,5.507887545e-05,0,0.4,0,1.209360838
2021-11-20 13:00:00,2021-10-31 23:00:00,0.95,0.0009891786613,0,0.1,0,2.072036982
2021-11-20 14:00:00,2021-10-31 23:00:00,0.95,0.0005049412721,0,0.7,0,1.505047083
2021-11-20 15:00:00,2021-10-31 23:00:00,0.95,0.004159379285,0,5.3,0,1.10853982
2021-11-20 16:00:00,2021-10-31 23:00:00,0.95,0.00306971278,0,5.6,0,1.263587594
2021-11-20 17:00:00,2021-10-31 23:00:00,0.95,0.004512390122,0,6.6,0,1.057777405
2021-11-20 18:00:00,2021-10-31 23:00:00,0.95,0.003986217547,0,11.4,0,1.285505295
